City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
134,Port Alfred,-33.5906,26.891,66.78,87,26,17.4,ZA,2021-03-30 03:54:32
135,Curvelo,-18.7564,-44.4308,70.03,83,76,1.03,BR,2021-03-30 03:54:33
136,Manta,-0.95,-80.7333,78.8,73,90,4.61,EC,2021-03-30 03:51:20
137,High Level,58.5169,-117.136,6.8,66,1,2.57,CA,2021-03-30 03:53:59
138,Abeche,13.8292,20.8324,67.55,10,0,11.07,TD,2021-03-30 03:54:33
139,Pokrovsk,48.282,37.1758,31.96,88,10,10.02,UA,2021-03-30 03:54:33
140,Iralaya,15.0,-83.2333,78.37,80,2,15.21,HN,2021-03-30 03:54:34
141,Hamilton,39.1834,-84.5333,48.0,57,1,9.22,US,2021-03-30 03:54:34
142,Pachino,36.7186,15.0907,42.8,87,0,5.75,IT,2021-03-30 03:54:34
143,Havre-Saint-Pierre,50.2334,-63.5986,21.2,68,20,26.46,CA,2021-03-30 03:54:34
144,Saint Anthony,45.0205,-93.218,66.2,37,1,17.27,US,2021-03-30 03:54:34
145,Namtsy,62.7161,129.6658,26.6,54,0,6.71,RU,2021-03-30 03:54:35
146,Vila Franca Do Campo,37.7167,-25.4333,57.2,94,75,16.11,PT,2021-03-30 03:54:35
147,Amga,60.8953,131.9608,27.18,90,100,7.72,RU,2021-03-30 03:54:35
148,Champerico,14.3,-91.9167,69.01,94,5,8.16,GT,2021-03-30 03:54:36
149,Sao Felix Do Xingu,-6.6447,-51.995,70.75,98,37,0.76,BR,2021-03-30 03:54:36
150,Oranjemund,-28.55,16.4333,58.71,88,0,5.19,NA,2021-03-30 03:54:36
151,Vredendal,-31.6683,18.5012,58.08,86,4,1.12,ZA,2021-03-30 03:54:36
152,Ribeira Grande,38.5167,-28.7,57.29,86,100,28.1,PT,2021-03-30 03:51:38
153,Jacareacanga,-6.2222,-57.7528,72.3,97,98,1.95,BR,2021-03-30 03:54:36
154,Viedma,-40.8135,-62.9967,57.72,89,3,8.75,AR,2021-03-30 03:51:28
155,Port Hedland,-20.3167,118.5667,98.6,30,1,16.11,AU,2021-03-30 03:54:37
156,Leshukonskoye,64.8989,45.7622,34.83,90,100,12.75,RU,2021-03-30 03:54:37
157,Yenagoa,4.9247,6.2642,76.08,92,3,2.04,NG,2021-03-30 03:54:37
158,Dingle,10.9995,122.6711,89.13,55,96,11.14,PH,2021-03-30 03:54:37
159,Pontes E Lacerda,-15.2261,-59.3353,71.64,88,43,1.39,BR,2021-03-30 03:54:38
160,Beringovskiy,63.05,179.3167,12.22,80,100,21.34,RU,2021-03-30 03:54:38
161,Cape Town,-33.9258,18.4232,64.99,94,75,11.5,ZA,2021-03-30 03:54:38
162,Butaritari,3.0707,172.7902,81.81,78,50,17.25,KI,2021-03-30 03:54:38
163,Deniliquin,-35.5333,144.9667,75.0,33,94,3.0,AU,2021-03-30 03:54:38
164,Ishinomaki,38.4167,141.3,57.2,51,75,9.22,JP,2021-03-30 03:54:39
165,Tilichiki,60.4667,166.1,12.72,77,13,5.12,RU,2021-03-30 03:54:39
166,Saskylakh,71.9167,114.0833,-18.06,97,98,6.76,RU,2021-03-30 03:54:39
167,Nizhniy Tsasuchey,50.5167,115.1333,38.79,47,100,5.77,RU,2021-03-30 03:54:39
168,Leninskoye,41.7589,69.3864,46.4,71,62,4.61,KZ,2021-03-30 03:54:40
169,Bredasdorp,-34.5322,20.0403,55.4,94,80,3.44,ZA,2021-03-30 03:54:27
170,Gavrilovka Vtoraya,52.877,42.7663,13.39,98,74,4.34,RU,2021-03-30 03:54:40
171,Bluff,-46.6,168.3333,64.0,76,96,1.99,NZ,2021-03-30 03:54:41
172,Titel,45.2061,20.2944,46.4,93,0,2.3,RS,2021-03-30 03:52:36
173,Margate,51.3813,1.3862,51.01,61,94,4.45,GB,2021-03-30 03:54:41
174,Hachinohe,40.5,141.5,58.37,41,100,6.42,JP,2021-03-30 03:54:41
175,Vao,-22.6667,167.4833,78.15,73,100,8.25,NC,2021-03-30 03:54:42
176,Aklavik,68.2191,-135.0107,8.6,61,100,4.61,CA,2021-03-30 03:54:42
177,Nsanje,-16.92,35.262,65.82,98,10,3.11,MW,2021-03-30 03:54:42
178,Tuktoyaktuk,69.4541,-133.0374,-9.4,77,20,18.41,CA,2021-03-30 03:54:42
179,Sao Filipe,14.8961,-24.4956,68.5,73,29,7.56,CV,2021-03-30 03:54:42
180,Quzhou,28.9594,118.8686,69.89,93,100,5.61,CN,2021-03-30 03:54:43
181,Asau,46.4333,26.4,35.01,80,0,3.87,RO,2021-03-30 03:54:43
182,Taoudenni,22.6783,-3.9836,75.81,7,57,9.84,ML,2021-03-30 03:54:43
183,Masunga,-20.6246,27.4488,56.16,80,0,6.73,BW,2021-03-30 03:54:44
184,Carnarvon,-24.8667,113.6333,89.6,55,47,10.36,AU,2021-03-30 03:51:18
185,Mezen,65.8522,44.24,35.51,88,100,16.35,RU,2021-03-30 03:54:44
186,General Roca,-39.0333,-67.5833,60.8,51,0,2.3,AR,2021-03-30 03:54:44
187,Lodeynoye Pole,60.726,33.5531,39.56,92,100,15.93,RU,2021-03-30 03:54:44
188,Hilo,19.7297,-155.09,73.4,83,90,6.91,US,2021-03-30 03:51:24
189,Klaksvik,62.2266,-6.589,37.4,87,20,2.3,FO,2021-03-30 03:54:45
190,Erenhot,43.6475,111.9767,58.96,22,67,21.65,CN,2021-03-30 03:54:45
191,Serpa,37.9458,-7.5975,59.0,88,20,5.75,PT,2021-03-30 03:54:45
